   t         Omega F_0 0       Omega F_0 0.5       Omega F_0 1.2
 80.52  -0.78407054093E-09  -0.55971241580E+00   0.14696301692E+01
 80.55  -0.73568453410E-09  -0.56405215325E+00   0.14318901167E+01
 80.58  -0.68736220130E-09  -0.56812462961E+00   0.13927658120E+01
 80.61  -0.63914607751E-09  -0.57192618905E+00   0.13523285631E+01
 80.64  -0.59107796411E-09  -0.57545344974E+00   0.13106510816E+01
 80.67  -0.54319890224E-09  -0.57870331375E+00   0.12678070023E+01
 80.70  -0.49554914729E-09  -0.58167297618E+00   0.12238704298E+01
 80.73  -0.44816814442E-09  -0.58435993332E+00   0.11789155154E+01
 80.76  -0.40109450527E-09  -0.58676198989E+00   0.11330160684E+01
 80.79  -0.35436598566E-09  -0.58887726531E+00   0.10862452043E+01
 80.82  -0.30801946445E-09  -0.59070419890E+00   0.10386750318E+01
 80.85  -0.26209092354E-09  -0.59224155409E+00   0.99037637931E+00
 80.88  -0.21661542891E-09  -0.59348842145E+00   0.94141856178E+00
 80.91  -0.17162711282E-09  -0.59444422072E+00   0.89186918679E+00
 80.94  -0.12715915707E-09  -0.59510870164E+00   0.84179399973E+00
 80.97  -0.83243777408E-10  -0.59548194371E+00   0.79125676608E+00
 81.00  -0.39912209045E-10  -0.59556435479E+00   0.74031918928E+00
 81.03   0.28053067814E-11  -0.59535666861E+00   0.68904086191E+00
 81.06   0.44879535094E-10  -0.59485994114E+00   0.63747924778E+00
 81.09   0.86282258400E-10  -0.59407554593E+00   0.58568969249E+00
 81.12   0.12698628682E-09  -0.59300516837E+00   0.53372545956E+00
 81.15   0.16696546716E-09  -0.59165079885E+00   0.48163778955E+00
 81.18   0.20619469088E-09  -0.59001472506E+00   0.42947597928E+00
 81.21   0.24464990101E-09  -0.58809952329E+00   0.37728747851E+00
 81.24   0.28230809809E-09  -0.58590804876E+00   0.32511800135E+00
 81.27   0.31914734492E-09  -0.58344342527E+00   0.27301164975E+00
 81.30   0.35514677043E-09  -0.58070903389E+00   0.22101104670E+00
 81.33   0.39028657247E-09  -0.57770850110E+00   0.16915747660E+00
 81.36   0.42454801957E-09  -0.57444568613E+00   0.11749103061E+00
 81.39   0.45791345174E-09  -0.57092466779E+00   0.66050754891E-01
 81.42   0.49036628032E-09  -0.56714973080E+00   0.14874799529E-01
 81.45   0.52189098682E-09  -0.56312535159E+00  -0.35999433600E-01
 81.48   0.55247312083E-09  -0.55885618384E+00  -0.86535145936E-01
 81.51   0.58209929703E-09  -0.55434704363E+00  -0.13669600197E+00
 81.54   0.61075719121E-09  -0.54960289443E+00  -0.18644599526E+00
 81.57   0.63843553552E-09  -0.54462883189E+00  -0.23574932215E+00
 81.60   0.66512411267E-09  -0.53943006860E+00  -0.28457026481E+00
 81.63   0.69081374946E-09  -0.53401191883E+00  -0.33287308472E+00
 81.66   0.71549630933E-09  -0.52837978331E+00  -0.38062192810E+00
 81.69   0.73916468413E-09  -0.52253913417E+00  -0.42778074427E+00
 81.72   0.76181278508E-09  -0.51649550008E+00  -0.47431321833E+00
 81.75   0.78343553301E-09  -0.51025445161E+00  -0.52018271886E+00
 81.78   0.80402884775E-09  -0.50382158695E+00  -0.56535226194E+00
 81.81   0.82358963680E-09  -0.49720251798E+00  -0.60978449205E+00
 81.84   0.84211578334E-09  -0.49040285678E+00  -0.65344168076E+00
 81.87   0.85960613348E-09  -0.48342820253E+00  -0.69628574374E+00
 81.90   0.87606048285E-09  -0.47628412906E+00  -0.73827827653E+00
 81.93   0.89147956254E-09  -0.46897617283E+00  -0.77938060944E+00
 81.96   0.90586502443E-09  -0.46150982156E+00  -0.81955388164E+00
 81.99   0.91921942587E-09  -0.45389050343E+00  -0.85875913434E+00
 82.02   0.93154621381E-09  -0.44612357697E+00  -0.89695742278E+00
 82.05   0.94284970833E-09  -0.43821432157E+00  -0.93410994650E+00
 82.08   0.95313508570E-09  -0.43016792872E+00  -0.97017819703E+00
 82.11   0.96240836083E-09  -0.42198949389E+00  -0.10051241220E+01
 82.14   0.97067636931E-09  -0.41368400915E+00  -0.10389103042E+01
 82.17   0.97794674893E-09  -0.40525635651E+00  -0.10715001544E+01
 82.20   0.98422792078E-09  -0.39671130192E+00  -0.11028581152E+01
 82.23   0.98952906992E-09  -0.38805349009E+00  -0.11329498746E+01
 82.26   0.99386012567E-09  -0.37928743989E+00  -0.11617425867E+01
 82.29   0.99723174146E-09  -0.37041754058E+00  -0.11892050961E+01
 82.32   0.99965527445E-09  -0.36144804864E+00  -0.12153081647E+01
 82.35   0.10011427647E-08  -0.35238308531E+00  -0.12400246963E+01
 82.38   0.10017069141E-08  -0.34322663488E+00  -0.12633299566E+01
 82.41   0.10013610651E-08  -0.33398254348E+00  -0.12852017863E+01
 82.44   0.10001191788E-08  -0.32465451867E+00  -0.13056208020E+01
 82.47   0.99799581353E-09  -0.31524612953E+00  -0.13245705840E+01
 82.50   0.99500610253E-09  -0.30576080737E+00  -0.13420378464E+01
 82.53   0.99116573170E-09  -0.29620184709E+00  -0.13580125878E+01
 82.56   0.98649091728E-09  -0.28657240901E+00  -0.13724882187E+01
 82.59   0.98099838324E-09  -0.27687552122E+00  -0.13854616649E+01
 82.62   0.97470533868E-09  -0.26711408251E+00  -0.13969334434E+01
 82.65   0.96762945497E-09  -0.25729086572E+00  -0.14069077100E+01
 82.68   0.95978884302E-09  -0.24740852153E+00  -0.14153922775E+01
 82.71   0.95120203028E-09  -0.23746958275E+00  -0.14223986038E+01
 82.74   0.94188793791E-09  -0.22747646894E+00  -0.14279417491E+01
 82.77   0.93186585778E-09  -0.21743149143E+00  -0.14320403030E+01
 82.80   0.92115542958E-09  -0.20733685869E+00  -0.14347162830E+01
 82.83   0.90977661791E-09  -0.19719468204E+00  -0.14359950030E+01
 82.86   0.89774968947E-09  -0.18700698164E+00  -0.14359049175E+01
 82.89   0.88509519023E-09  -0.17677569274E+00  -0.14344774390E+01
 82.92   0.87183392280E-09  -0.16650267222E+00  -0.14317467349E+01
 82.95   0.85798692386E-09  -0.15618970536E+00  -0.14277495040E+01
 82.98   0.84357544167E-09  -0.14583851271E+00  -0.14225247366E+01
 83.01   0.82862091382E-09  -0.13545075731E+00  -0.14161134609E+01
 83.04   0.81314494506E-09  -0.12502805189E+00  -0.14085584794E+01
 83.07   0.79716928538E-09  -0.11457196637E+00  -0.13999040979E+01
 83.10   0.78071580825E-09  -0.10408403530E+00  -0.13901958501E+01
 83.13   0.76380648904E-09  -0.93565765547E-01  -0.13794802219E+01
 83.16   0.74646338378E-09  -0.83018643971E-01  -0.13678043776E+01
 83.19   0.72870860805E-09  -0.72444145141E-01  -0.13552158910E+01
 83.22   0.71056431621E-09  -0.61843739123E-01  -0.13417624834E+01
 83.25   0.69205268086E-09  -0.51218899256E-01  -0.13274917724E+01
 83.28   0.67319587263E-09  -0.40571109919E-01  -0.13124510319E+01
 83.31   0.65401604024E-09  -0.29901874268E-01  -0.12966869653E+01
 83.34   0.63453529090E-09  -0.19212721934E-01  -0.12802454948E+01
 83.37   0.61477567104E-09  -0.85052166419E-02  -0.12631715660E+01
 83.40   0.59475914737E-09   0.22190362452E-02  -0.12455089700E+01
 83.43   0.57450758832E-09   0.12958382291E-01  -0.12273001828E+01
 83.46   0.55404274583E-09   0.23711110673E-01  -0.12085862234E+01
 83.49   0.53338623751E-09   0.34475447004E-01  -0.11894065290E+01
 83.52   0.51255952920E-09   0.45249546322E-01  -0.11697988487E+01
 83.55   0.49158391793E-09   0.56031486247E-01  -0.11497991544E+01
 83.58   0.47048051531E-09   0.66819260342E-01  -0.11294415690E+01
 83.61   0.44927023126E-09   0.77610771683E-01  -0.11087583104E+01
 83.64   0.42797375827E-09   0.88403826662E-01  -0.10877796510E+01
 83.67   0.40661155599E-09   0.99196129045E-01  -0.10665338925E+01
 83.70   0.38520383634E-09   0.10998527430E+00  -0.10450473527E+01
 83.73   0.36377054904E-09   0.12076874421E+00  -0.10233443668E+01
 83.76   0.34233136755E-09   0.13154390180E+00  -0.10014472978E+01
 83.79   0.32090567555E-09   0.14230798660E+00  -0.97937655944E+00
 83.82   0.29951255382E-09   0.15305811025E+00  -0.95715064680E+00
 83.85   0.27817076762E-09   0.16379125245E+00  -0.93478617569E+00
 83.88   0.25689875453E-09   0.17450425735E+00  -0.91229792918E+00
 83.91   0.23571461275E-09   0.18519383029E+00  -0.88969891005E+00
 83.94   0.21463608994E-09   0.19585653502E+00  -0.86700039857E+00
 83.97   0.19368057250E-09   0.20648879134E+00  -0.84421201449E+00
 84.00   0.17286507530E-09   0.21708687320E+00  -0.82134178245E+00
 84.03   0.15220623200E-09   0.22764690728E+00  -0.79839620013E+00
 84.06   0.13172028573E-09   0.23816487214E+00  -0.77538030826E+00
 84.09   0.11142308040E-09   0.24863659779E+00  -0.75229776205E+00
 84.12   0.91330052382E-10   0.25905776590E+00  -0.72915090319E+00
 84.15   0.71456222734E-10   0.26942391049E+00  -0.70594083226E+00
 84.18   0.51816189931E-10   0.27973041924E+00  -0.68266748070E+00
 84.21   0.32424123048E-10   0.28997253537E+00  -0.65932968221E+00
 84.24   0.13293755458E-10   0.30014536014E+00  -0.63592524318E+00
 84.27  -0.55616209986E-11   0.31024385593E+00  -0.61245101178E+00
 84.30  -0.24129161349E-10   0.32026284999E+00  -0.58890294551E+00
 84.33  -0.42396472349E-10   0.33019703879E+00  -0.56527617706E+00
 84.36  -0.60351616859E-10   0.34004099303E+00  -0.54156507827E+00
 84.39  -0.77983117746E-10   0.34978916329E+00  -0.51776332206E+00
 84.42  -0.95279961314E-10   0.35943588634E+00  -0.49386394233E+00
 84.45  -0.11223160026E-09   0.36897539207E+00  -0.46985939167E+00
 84.48  -0.12882795619E-09   0.37840181112E+00  -0.44574159699E+00
 84.51  -0.14505942161E-09   0.38770918308E+00  -0.42150201296E+00
 84.54  -0.16091686158E-09   0.39689146542E+00  -0.39713167336E+00
 84.57  -0.17639161477E-09   0.40594254295E+00  -0.37262124044E+00
 84.60  -0.19147549421E-09   0.41485623792E+00  -0.34796105225E+00
 84.63  -0.20616078751E-09   0.42362632073E+00  -0.32314116810E+00
 84.66  -0.22044025670E-09   0.43224652122E+00  -0.29815141235E+00
 84.69  -0.23430713763E-09   0.44071054040E+00  -0.27298141645E+00
 84.72  -0.24775513891E-09   0.44901206284E+00  -0.24762065962E+00
 84.75  -0.26077844056E-09   0.45714476942E+00  -0.22205850809E+00
 84.78  -0.27337169208E-09   0.46510235059E+00  -0.19628425328E+00
 84.81  -0.28553001030E-09   0.47287852001E+00  -0.17028714891E+00
 84.84  -0.29724897675E-09   0.48046702852E+00  -0.14405644743E+00
 84.87  -0.30852463461E-09   0.48786167849E+00  -0.11758143577E+00
 84.90  -0.31935348544E-09   0.49505633837E+00  -0.90851470757E-01
 84.93  -0.32973248537E-09   0.50204495744E+00  -0.63856014402E-01
 84.96  -0.33965904106E-09   0.50882158075E+00  -0.36584669252E-01
 84.99  -0.34913100529E-09   0.51538036414E+00  -0.90272140675E-02
 85.02  -0.35814667214E-09   0.52171558922E+00   0.18826359907E-01
 85.05  -0.36670477198E-09   0.52782167839E+00   0.46985811841E-01
 85.08  -0.37480446604E-09   0.53369320972E+00   0.75460613103E-01
 85.11  -0.38244534066E-09   0.53932493162E+00   0.10425990765E+00
 85.14  -0.38962740135E-09   0.54471177731E+00   0.13339247075E+00
 85.17  -0.39635106648E-09   0.54984887894E+00   0.16286666575E+00
 85.20  -0.40261716067E-09   0.55473158135E+00   0.19269039850E+00
 85.23  -0.40842690800E-09   0.55935545532E+00   0.22287106933E+00
 85.26  -0.41378192490E-09   0.56371631039E+00   0.25341552208E+00
 85.29  -0.41868421282E-09   0.56781020697E+00   0.28432998988E+00
 85.32  -0.42313615063E-09   0.57163346785E+00   0.31562003761E+00
 85.35  -0.42714048683E-09   0.57518268899E+00   0.34729050039E+00
 85.38  -0.43070033155E-09   0.57845474954E+00   0.37934541815E+00
 85.41  -0.43381914831E-09   0.58144682093E+00   0.41178796573E+00
 85.44  -0.43650074558E-09   0.58415637520E+00   0.44462037844E+00
 85.47  -0.43874926822E-09   0.58658119227E+00   0.47784387276E+00
 85.50  -0.44056918868E-09   0.58871936627E+00   0.51145856197E+00
 85.53  -0.44196529806E-09   0.59056931091E+00   0.54546336670E+00
 85.56  -0.44294269703E-09   0.59212976366E+00   0.57985591999E+00
 85.59  -0.44350678659E-09   0.59339978896E+00   0.61463246720E+00
 85.62  -0.44366325870E-09   0.59437878029E+00   0.64978776047E+00
 85.65  -0.44341808679E-09   0.59506646110E+00   0.68531494803E+00
 85.68  -0.44277751619E-09   0.59546288468E+00   0.72120545847E+00
 85.71  -0.44174805438E-09   0.59556843281E+00   0.75744888040E+00
 85.74  -0.44033646125E-09   0.59538381338E+00   0.79403283783E+00
 85.77  -0.43854973920E-09   0.59491005687E+00   0.83094286194E+00
 85.80  -0.43639512321E-09   0.59414851175E+00   0.86816226004E+00
 85.83  -0.43388007086E-09   0.59310083877E+00   0.90567198252E+00
 85.86  -0.43101225222E-09   0.59176900434E+00   0.94345048913E+00
 85.89  -0.42779953984E-09   0.59015527278E+00   0.98147361573E+00
 85.92  -0.42424999856E-09   0.58826219771E+00   0.10197144433E+01
 85.95  -0.42037187540E-09   0.58609261254E+00   0.10581431707E+01
 85.98  -0.41617358940E-09   0.58364962007E+00   0.10967269939E+01
 86.01  -0.41166372146E-09   0.58093658132E+00   0.11354299930E+01
 86.04  -0.40685100418E-09   0.57795710367E+00   0.11742130306E+01
 86.07  -0.40174431177E-09   0.57471502830E+00   0.12130336637E+01
 86.10  -0.39635264985E-09   0.57121441702E+00   0.12518460723E+01
 86.13  -0.39068514549E-09   0.56745953867E+00   0.12906010086E+01
 86.16  -0.38475103705E-09   0.56345485495E+00   0.13292457688E+01
 86.19  -0.37855966431E-09   0.55920500596E+00   0.13677241929E+01
 86.22  -0.37212045847E-09   0.55471479539E+00   0.14059766940E+01
 86.25  -0.36544293230E-09   0.54998917553E+00   0.14439403234E+01
 86.28  -0.35853667038E-09   0.54503323206E+00   0.14815488726E+01
 86.31  -0.35141131939E-09   0.53985216883E+00   0.15187330165E+01
 86.34  -0.34407657847E-09   0.53445129256E+00   0.15554205021E+01
 86.37  -0.33654218975E-09   0.52883599764E+00   0.15915363832E+01
 86.40  -0.32881792889E-09   0.52301175109E+00   0.16270033051E+01
 86.43  -0.32091359580E-09   0.51698407759E+00   0.16617418406E+01
 86.46  -0.31283900548E-09   0.51075854491E+00   0.16956708767E+01
 86.49  -0.30460397890E-09   0.50434074957E+00   0.17287080541E+01
 86.52  -0.29621833414E-09   0.49773630285E+00   0.17607702568E+01
 86.55  -0.28769187756E-09   0.49095081728E+00   0.17917741492E+01
 86.58  -0.27903439513E-09   0.48398989357E+00   0.18216367593E+01
 86.61  -0.27025564398E-09   0.47685910799E+00   0.18502761005E+01
 86.64  -0.26136534402E-09   0.46956400041E+00   0.18776118283E+01
 86.67  -0.25237316975E-09   0.46211006283E+00   0.19035659230E+01
 86.70  -0.24328874225E-09   0.45450272855E+00   0.19280633908E+01
 86.73  -0.23412162128E-09   0.44674736200E+00   0.19510329731E+01
 86.76  -0.22488129767E-09   0.43884924922E+00   0.19724078535E+01
 86.79  -0.21557718575E-09   0.43081358899E+00   0.19921263516E+01
 86.82  -0.20621861604E-09   0.42264548471E+00   0.20101325915E+01
 86.85  -0.19681482812E-09   0.41434993693E+00   0.20263771330E+01
 86.88  -0.18737496368E-09   0.40593183666E+00   0.20408175536E+01
 86.91  -0.17790805973E-09   0.39739595931E+00   0.20534189701E+01
 86.94  -0.16842304209E-09   0.38874695939E+00   0.20641544888E+01
 86.97  -0.15892871897E-09   0.37998936596E+00   0.20730055755E+01
 87.00  -0.14943377486E-09   0.37112757872E+00   0.20799623364E+01
 87.03  -0.13994676451E-09   0.36216586482E+00   0.20850237037E+01
 87.06  -0.13047610723E-09   0.35310835635E+00   0.20881975223E+01
 87.09  -0.12103008130E-09   0.34395904854E+00   0.20895005338E+01
 87.12  -0.11161681870E-09   0.33472179857E+00   0.20889582586E+01
 87.15  -0.10224429990E-09   0.32540032503E+00   0.20866047773E+01
 87.18  -0.92920349007E-10   0.31599820799E+00   0.20824824165E+01
 87.21  -0.83652629066E-10   0.30651888971E+00   0.20766413439E+01
 87.24  -0.74448637558E-10   0.29696567590E+00   0.20691390807E+01
 87.27  -0.65315702149E-10   0.28734173749E+00   0.20600399418E+01
 87.30  -0.56260976639E-10   0.27765011302E+00   0.20494144125E+01
 87.33  -0.47291437132E-10   0.26789371146E+00   0.20373384758E+01
 87.36  -0.38413878425E-10   0.25807531552E+00   0.20238928992E+01
 87.39  -0.29634910608E-10   0.24819758549E+00   0.20091624968E+01
 87.42  -0.20960955888E-10   0.23826306340E+00   0.19932353760E+01
 87.45  -0.12398245629E-10   0.22827417762E+00   0.19762021831E+01
 87.48  -0.39528176029E-11   0.21823324793E+00   0.19581553573E+01
 87.51   0.43694865388E-11   0.20814249079E+00   0.19391884044E+01
 87.54   0.12563023580E-10   0.19800402502E+00   0.19193951984E+01
 87.57   0.20622350845E-10   0.18781987783E+00   0.18988693210E+01
 87.60   0.28542228085E-10   0.17759199098E+00   0.18777034432E+01
 87.63   0.36317619162E-10   0.16732222737E+00   0.18559887556E+01
 87.66   0.43943693514E-10   0.15701237771E+00   0.18338144526E+01
 87.69   0.51415827428E-10   0.14666416745E+00   0.18112672697E+01
 87.72   0.58729605088E-10   0.13627926395E+00   0.17884310800E+01
 87.75   0.65880819438E-10   0.12585928367E+00   0.17653865457E+01
 87.78   0.72865472836E-10   0.11540579966E+00   0.17422108274E+01
 87.81   0.79679777507E-10   0.10492034902E+00   0.17189773476E+01
 87.84   0.86320155809E-10   0.94404440546E-01   0.16957556069E+01
 87.87   0.92783240295E-10   0.83859562391E-01   0.16726110496E+01
 87.90   0.99065873598E-10   0.73287189824E-01   0.16496049760E+01
 87.93   0.10516510812E-09   0.62688792987E-01   0.16267944969E+01
 87.96   0.11107820552E-09   0.52065844672E-01   0.16042325267E+01
 87.99   0.11680263607E-09   0.41419828094E-01   0.15819678112E+01
 88.02   0.12233607780E-09   0.30752244633E-01   0.15600449855E+01
 88.05   0.12767641543E-09   0.20064621530E-01   0.15385046589E+01
 88.08   0.13282173922E-09   0.93585195186E-02   0.15173835217E+01
 88.11   0.13777034359E-09  -0.13644596289E-02   0.14967144713E+01
 88.14   0.14252072558E-09  -0.12102665654E-01   0.14765267529E+01
 88.17   0.14707158319E-09  -0.22854392488E-01   0.14568461134E+01
 88.20   0.15142181352E-09  -0.33617871066E-01   0.14376949626E+01
 88.23   0.15557051075E-09  -0.44391262298E-01   0.14190925426E+01
 88.26   0.15951696407E-09  -0.55172650217E-01   0.14010550994E+01
 88.29   0.16326065532E-09  -0.65960035317E-01   0.13835960569E+01
 88.32   0.16680125661E-09  -0.76751328109E-01   0.13667261910E+01
 88.35   0.17013862775E-09  -0.87544342907E-01   0.13504538007E+01
 88.38   0.17327281356E-09  -0.98336791860E-01   0.13347848773E+01
 88.41   0.17620404105E-09  -0.10912627926E+00   0.13197232675E+01
 88.44   0.17893271649E-09  -0.11991029614E+00   0.13052708327E+01
 88.47   0.18145942235E-09  -0.13068621515E+00   0.12914276008E+01
 88.50   0.18378491415E-09  -0.14145128583E+00   0.12781919118E+01
 88.53   0.18591011714E-09  -0.15220263015E+00   0.12655605557E+01
 88.56   0.18783612299E-09  -0.16293723846E+00   0.12535289029E+01
 88.59   0.18956418624E-09  -0.17365196582E+00   0.12420910269E+01
 88.62   0.19109572077E-09  -0.18434352874E+00   0.12312398189E+01
 88.65   0.19243229613E-09  -0.19500850233E+00   0.12209670943E+01
 88.68   0.19357563380E-09  -0.20564331794E+00   0.12112636915E+01
 88.71   0.19452760333E-09  -0.21624426118E+00   0.12021195630E+01
 88.74   0.19529021848E-09  -0.22680747051E+00   0.11935238581E+01
 88.77   0.19586563320E-09  -0.23732893630E+00   0.11854649999E+01
 88.80   0.19625613763E-09  -0.24780450039E+00   0.11779307531E+01
 88.83   0.19646415397E-09  -0.25822985624E+00   0.11709082867E+01
 88.86   0.19649223233E-09  -0.26860054960E+00   0.11643842291E+01
 88.89   0.19634304650E-09  -0.27891197973E+00   0.11583447175E+01
 88.92   0.19601938972E-09  -0.28915940128E+00   0.11527754414E+01
 88.95   0.19552417034E-09  -0.29933792669E+00   0.11476616802E+01
 88.98   0.19486040750E-09  -0.30944252930E+00   0.11429883363E+01
 89.01   0.19403122673E-09  -0.31946804694E+00   0.11387399628E+01
 89.04   0.19303985557E-09  -0.32940918635E+00   0.11349007869E+01
 89.07   0.19188961911E-09  -0.33926052802E+00   0.11314547296E+01
 89.10   0.19058393553E-09  -0.34901653189E+00   0.11283854208E+01
 89.13   0.18912631167E-09  -0.35867154353E+00   0.11256762120E+01
 89.16   0.18752033849E-09  -0.36821980109E+00   0.11233101852E+01
 89.19   0.18576968660E-09  -0.37765544280E+00   0.11212701594E+01
 89.22   0.18387810177E-09  -0.38697251521E+00   0.11195386947E+01
 89.25   0.18184940042E-09  -0.39616498197E+00   0.11180980943E+01
 89.28   0.17968746513E-09  -0.40522673332E+00   0.11169304050E+01
 89.31   0.17739624015E-09  -0.41415159610E+00   0.11160174160E+01
 89.34   0.17497972693E-09  -0.42293334445E+00   0.11153406570E+01
 89.37   0.17244197965E-09  -0.43156571100E+00   0.11148813951E+01
 89.40   0.16978710081E-09  -0.44004239861E+00   0.11146206323E+01
 89.43   0.16701923675E-09  -0.44835709270E+00   0.11145391012E+01
 89.46   0.16414257334E-09  -0.45650347397E+00   0.11146172631E+01
 89.49   0.16116133157E-09  -0.46447523161E+00   0.11148353045E+01
 89.52   0.15807976322E-09  -0.47226607692E+00   0.11151731359E+01
 89.55   0.15490214661E-09  -0.47986975727E+00   0.11156103914E+01
 89.58   0.15163278232E-09  -0.48728007038E+00   0.11161264290E+01
 89.61   0.14827598899E-09  -0.49449087890E+00   0.11167003336E+01
 89.64   0.14483609917E-09  -0.50149612513E+00   0.11173109217E+01
 89.67   0.14131745521E-09  -0.50828984596E+00   0.11179367476E+01
 89.70   0.13772440520E-09  -0.51486618784E+00   0.11185561131E+01
 89.73   0.13406129897E-09  -0.52121942181E+00   0.11191470796E+01
 89.76   0.13033248417E-09  -0.52734395854E+00   0.11196874827E+01
 89.79   0.12654230235E-09  -0.53323436313E+00   0.11201549507E+01
 89.82   0.12269508519E-09  -0.53888536991E+00   0.11205269258E+01
 89.85   0.11879515071E-09  -0.54429189685E+00   0.11207806891E+01
 89.88   0.11484679961E-09  -0.54944905976E+00   0.11208933893E+01
 89.91   0.11085431166E-09  -0.55435218604E+00   0.11208420748E+01
 89.94   0.10682194215E-09  -0.55899682801E+00   0.11206037301E+01
 89.97   0.10275391843E-09  -0.56337877575E+00   0.11201553154E+01
 90.00   0.98654436541E-10  -0.56749406924E+00   0.11194738106E+01
 90.03   0.94527657887E-10  -0.57133900998E+00   0.11185362631E+01
 90.06   0.90377706021E-10  -0.57491017182E+00   0.11173198386E+01
 90.09   0.86208663498E-10  -0.57820441098E+00   0.11158018764E+01
 90.12   0.82024568815E-10  -0.58121887532E+00   0.11139599480E+01
 90.15   0.77829413441E-10  -0.58395101266E+00   0.11117719180E+01
 90.18   0.73627138925E-10  -0.58639857814E+00   0.11092160096E+01
 90.21   0.69421634102E-10  -0.58855964069E+00   0.11062708711E+01
 90.24   0.65216732380E-10  -0.59043258838E+00   0.11029156463E+01
 90.27   0.61016209125E-10  -0.59201613276E+00   0.10991300454E+01
 90.30   0.56823779131E-10  -0.59330931217E+00   0.10948944191E+01
 90.33   0.52643094186E-10  -0.59431149381E+00   0.10901898318E+01
 90.36   0.48477740730E-10  -0.59502237487E+00   0.10849981376E+01
 90.39   0.44331237609E-10  -0.59544198239E+00   0.10793020547E+01
 90.42   0.40207033921E-10  -0.59557067206E+00   0.10730852399E+01
 90.45   0.36108506958E-10  -0.59540912593E+00   0.10663323627E+01
 90.48   0.32038960243E-10  -0.59495834894E+00   0.10590291768E+01
 90.51   0.28001621664E-10  -0.59421966443E+00   0.10511625900E+01
 90.54   0.23999641705E-10  -0.59319470852E+00   0.10427207316E+01
 90.57   0.20036091767E-10  -0.59188542354E+00   0.10336930160E+01
 90.60   0.16113962596E-10  -0.59029405040E+00   0.10240702029E+01
 90.63   0.12236162797E-10  -0.58842312001E+00   0.10138444525E+01
 90.66   0.84055174474E-11  -0.58627544388E+00   0.10030093767E+01
 90.69   0.46247668126E-11  -0.58385410374E+00   0.99156008428E+00
 90.72   0.89656514729E-12  -0.58116244049E+00   0.97949322080E+00
 90.75  -0.27765204017E-11  -0.57820404234E+00   0.96680700191E+00
 90.78  -0.63920107991E-11  -0.57498273232E+00   0.95350124066E+00
 90.81  -0.99475160308E-11  -0.57150255517E+00   0.93957736795E+00
 90.84  -0.13440735920E-10  -0.56776776375E+00   0.92503844611E+00
 90.87  -0.16869460848E-10  -0.56378280494E+00   0.90988917545E+00
 90.90  -0.20231572387E-10  -0.55955230516E+00   0.89413589381E+00
 90.93  -0.23525043838E-10  -0.55508105562E+00   0.87778656894E+00
 90.96  -0.26747940678E-10  -0.55037399734E+00   0.86085078399E+00
 90.99  -0.29898420919E-10  -0.54543620594E+00   0.84333971595E+00
 91.02  -0.32974735378E-10  -0.54027287640E+00   0.82526610758E+00
 91.05  -0.35975227857E-10  -0.53488930783E+00   0.80664423277E+00
 91.08  -0.38898335245E-10  -0.52929088818E+00   0.78748985578E+00
 91.11  -0.41742587519E-10  -0.52348307923E+00   0.76782018474E+00
 91.14  -0.44506607681E-10  -0.51747140161E+00   0.74765381961E+00
 91.17  -0.47189111594E-10  -0.51126142021E+00   0.72701069531E+00
 91.20  -0.49788907748E-10  -0.50485872975E+00   0.70591202020E+00
 91.23  -0.52304896942E-10  -0.49826894085E+00   0.68438021051E+00
 91.26  -0.54736071891E-10  -0.49149766643E+00   0.66243882132E+00
 91.29  -0.57081516751E-10  -0.48455050859E+00   0.64011247428E+00
 91.32  -0.59340406573E-10  -0.47743304601E+00   0.61742678299E+00
 91.35  -0.61512006682E-10  -0.47015082188E+00   0.59440827611E+00
 91.38  -0.63595671983E-10  -0.46270933242E+00   0.57108431908E+00
 91.41  -0.65590846200E-10  -0.45511401599E+00   0.54748303458E+00
 91.44  -0.67497061042E-10  -0.44737024286E+00   0.52363322252E+00
 91.47  -0.69313935307E-10  -0.43948330564E+00   0.49956427965E+00
 91.50  -0.71041173915E-10  -0.43145841037E+00   0.47530611950E+00
 91.53  -0.72678566889E-10  -0.42330066832E+00   0.45088909285E+00
 91.56  -0.74225988257E-10  -0.41501508851E+00   0.42634390905E+00
 91.59  -0.75683394915E-10  -0.40660657087E+00   0.40170155869E+00
 91.62  -0.77050825418E-10  -0.39807990024E+00   0.37699323763E+00
 91.65  -0.78328398721E-10  -0.38943974093E+00   0.35225027289E+00
 91.68  -0.79516312865E-10  -0.38069063215E+00   0.32750405043E+00
 91.71  -0.80614843616E-10  -0.37183698401E+00   0.30278594503E+00
 91.74  -0.81624343046E-10  -0.36288307432E+00   0.27812725249E+00
 91.77  -0.82545238076E-10  -0.35383304602E+00   0.25355912415E+00
 91.80  -0.83378028966E-10  -0.34469090527E+00   0.22911250396E+00
 91.83  -0.84123287766E-10  -0.33546052028E+00   0.20481806797E+00
 91.86  -0.84781656726E-10  -0.32614562067E+00   0.18070616648E+00
 91.89  -0.85353846660E-10  -0.31674979754E+00   0.15680676869E+00
 91.92  -0.85840635284E-10  -0.30727650408E+00   0.13314941005E+00
 91.95  -0.86242865506E-10  -0.29772905681E+00   0.10976314209E+00
 91.98  -0.86561443696E-10  -0.28811063732E+00   0.86676484839E-01
 92.01  -0.86797337913E-10  -0.27842429459E+00   0.63917381825E-01
